Name,RA,Dec,Con,OT,Mag,Diam
H 1-57,272.453542,-35.736806,SGR,PN,nan,0.210
RPZM 2-31,265.200000,-35.733333,SCO,PN,nan,nan
RPZM 2-5,258.150000,-35.716667,SCO,PN,nan,nan
Wray 17-10,119.025000,-35.700000,PUP,PN,nan,nan
RPZM 2-7,258.700000,-35.600000,SCO,PN,nan,nan
Wray 16-188,236.950000,-35.466667,LUP,PN,nan,nan
ESO 382-29,199.250000,-35.400000,CEN,PN,nan,nan
MeWe 2-1,125.225000,-35.283333,PUP,PN,nan,nan
Wray 16-22,129.068125,-35.264278,PYX,PN,nan,0.333
M 3-49,270.633167,-35.218972,SGR,PN,nan,0.163
PM 1-156,263.350000,-35.183333,SCO,PN,nan,nan
RPZM 2-9,258.950000,-35.183333,SCO,PN,nan,nan
H 1-13,262.113625,-35.128556,SCO,PN,nan,0.160
He 2-171,248.517750,-35.090500,SCO,PN,nan,0.167
H 1-12,261.600125,-35.029361,SCO,PN,nan,0.113
MGP 1,252.201583,-35.015917,SCO,PN,nan,nan
ESO 371-02,129.875000,-35.000000,PYX,PN,nan,nan
H 1-51,271.123000,-34.966583,SGR,PN,nan,0.220
Wray 17-4,111.575000,-34.950000,PUP,PN,nan,nan
Hf 2-1,267.801167,-34.923833,SCO,PN,nan,0.157
Wray 17-2,109.550000,-34.916667,PUP,PN,nan,nan
Wray 16-358,270.925000,-34.883333,SGR,PN,nan,nan
M 2-4,255.276250,-34.827556,SCO,PN,nan,0.083
Abell 23,115.828833,-34.753611,PUP,PN,13.10,0.900
RPZM 2-27,264.100000,-34.733333,SCO,PN,nan,nan
Wray 16-269,261.125000,-34.700000,SCO,PN,nan,nan
M 1-30,268.245875,-34.639722,SCO,PN,14.70,0.083
H 1-1,243.365542,-34.594917,SCO,PN,nan,0.040
H 1-31,266.384542,-34.565528,SCO,PN,nan,0.083
NGC 6026,240.337042,-34.543944,LUP,PN,13.20,0.667
ESO 389-13,241.600000,-34.516667,LUP,PN,nan,nan
Wray 16-295,265.150000,-34.516667,SCO,PN,nan,nan
M 3-50,271.019458,-34.475417,SGR,PN,nan,0.067
M 2-24,270.512292,-34.463139,SGR,PN,14.70,0.113
H 2-35,270.077667,-34.461639,SGR,PN,nan,0.180
MeWe 2-3,179.175000,-34.433333,HYA,PN,nan,nan
H 1-35,267.308458,-34.381472,SCO,PN,nan,0.033
Cn 2-1,268.637750,-34.372528,SCO,PN,nan,0.040
K 1-22,171.685167,-34.370861,HYA,PN,nan,3.000
H 2-23,267.243333,-34.365417,SCO,PN,nan,0.000
H 1-29,266.059167,-34.291139,SCO,PN,nan,0.000
K 1-21,121.060583,-34.267667,PUP,PN,nan,0.467
He 2-436,293.030417,-34.209278,SGR,PN,nan,0.167
H 1-41,269.330083,-34.163611,SCO,PN,nan,0.160
H 1-33,266.958292,-34.133444,SCO,PN,nan,0.000
M 3-14,266.085417,-34.111306,SCO,PN,nan,0.120
H 1-32,266.526417,-34.062778,SCO,PN,nan,0.083
RPZM 2-17,261.725000,-34.050000,SCO,PN,nan,nan
RPZM 2-18,261.750000,-34.033333,SCO,PN,nan,nan
H 2-26,267.461625,-34.004333,SCO,PN,nan,0.075
H 2-1,256.153292,-33.986639,SCO,PN,nan,0.093
H 1-39,268.336292,-33.933444,SCO,PN,nan,0.083
NGC 6563,273.013333,-33.866806,SGR,PN,10.80,0.792
H 1-43,269.564583,-33.794139,SCO,PN,nan,0.033
H 2-27,267.960250,-33.793583,SCO,PN,nan,0.000
Wray 17-15,123.650000,-33.783333,PUP,PN,nan,nan
PM 1-133,258.400000,-33.700000,SCO,PN,nan,nan
RPZM 2-37,266.300000,-33.600000,SCO,PN,nan,nan
H 1-42,269.354833,-33.595139,SCO,PN,nan,0.097
PM 1-136,259.100000,-33.550000,SCO,PN,nan,nan
RPZM 2-30,265.125000,-33.500000,SCO,PN,nan,nan
M 1-19,255.943958,-33.497889,SCO,PN,14.20,0.133
M 2-22,269.636125,-33.476833,SGR,PN,15.20,0.087
Wray 16-7,116.700000,-33.433333,PUP,PN,nan,nan
H 1-8,258.678750,-33.413278,SCO,PN,nan,0.057
IC 4776,281.462833,-33.344389,SGR,PN,10.90,0.125
ESO 367-01,106.425000,-33.316667,PUP,PN,nan,nan
M 1-34,270.343208,-33.295611,SGR,PN,14.90,0.187
Wray 17-17,123.975000,-33.266667,PUP,PN,nan,nan
Pe 1-11,270.427500,-33.254917,SGR,PN,nan,0.147
Hb 8,286.401542,-33.194111,SGR,PN,nan,0.083
M 2-5,255.579750,-33.167750,SCO,PN,nan,0.083
PM 1-171,265.375000,-33.166667,SCO,PN,nan,nan
M 1-27,266.689625,-33.143083,SCO,PN,14.35,0.088
Wray 17-104,269.600000,-33.066667,SGR,PN,nan,nan
Wray 16-255,257.550000,-32.983333,SCO,PN,nan,nan
Wray 16-344,269.975000,-32.983333,SGR,PN,nan,nan
M 2-18,268.408792,-32.981389,SCO,PN,15.60,0.083
M 3-51,271.233375,-32.901000,SGR,PN,nan,0.153
RPZM 2-26,264.100000,-32.883333,SCO,PN,nan,nan
PGK 248-5,115.600000,-32.800000,PUP,PN,nan,nan
RPZM 2-36,266.300000,-32.766667,SCO,PN,nan,nan
M 2-16,268.143542,-32.764361,SCO,PN,14.90,0.090
ESO 449-02,228.525000,-32.700000,LUP,PN,nan,nan
H 1-50,270.973625,-32.693917,SGR,PN,nan,0.167
H 2-29,268.320042,-32.677944,SCO,PN,nan,0.080
Abell 26,122.255458,-32.670917,PUP,PN,18.10,0.667
H 2-30,269.057250,-32.626028,SCO,PN,nan,0.187
M 2-32,273.710375,-32.619250,SGR,PN,nan,0.167
Wray 17-3,109.775000,-32.583333,CMA,PN,nan,nan
StWr 2-21,288.597125,-32.571667,SGR,PN,nan,0.083
M 2-8,256.379542,-32.535833,SCO,PN,nan,0.070
PM 1-140,259.925000,-32.500000,SCO,PN,nan,nan
ESO 450-26,239.275000,-32.466667,LUP,PN,nan,nan
PM 1-115,252.775000,-32.383333,SCO,PN,nan,nan
M 3-6,130.184458,-32.369278,PYX,PN,nan,0.137
H 1-46,269.760083,-32.362333,SGR,PN,nan,0.000
H 1-62,273.325125,-32.328611,SGR,PN,nan,0.000
Hb 7,283.911083,-32.265250,SGR,PN,nan,0.067
Th 3-34,264.450000,-32.250000,SCO,PN,nan,nan
M 2-25,270.695000,-32.158611,SGR,PN,14.40,0.233
K 1-1,127.969125,-32.102000,PYX,PN,nan,0.717
Wray 16-298,266.050000,-32.033333,SCO,PN,nan,nan
Y-C 2-19,239.700000,-32.000000,LUP,PN,nan,nan
M 2-35,274.403583,-31.943083,SGR,PN,nan,0.083
H 2-46,274.655417,-31.914361,SGR,PN,nan,0.067
M 3-48,269.986625,-31.909556,SGR,PN,nan,0.082
RPZM 2-41,267.350000,-31.783333,SCO,PN,nan,nan
RPZM 2-35,265.825000,-31.766667,SCO,PN,nan,nan
RPZM 2-38,266.750000,-31.766667,SCO,PN,nan,nan
Wray 16-6,115.500000,-31.766667,PUP,PN,nan,nan
K 1-3,245.822083,-31.749139,SCO,PN,nan,1.533
Th 3-11,261.110458,-31.721639,SCO,PN,nan,0.000
H 1-44,269.546125,-31.715861,SGR,PN,nan,0.060
KFL 9,271.830708,-31.715028,SGR,PN,nan,0.197
RPZM 2-28,264.500000,-31.683333,SCO,PN,nan,nan
H 1-4,253.404792,-31.676417,SCO,PN,nan,0.000
PM 1-143,260.675000,-31.666667,SCO,PN,nan,nan
H 2-36,271.029083,-31.653639,SGR,PN,nan,0.165
Th 3-4,259.717583,-31.651639,SCO,PN,nan,0.000
H 2-40,272.103833,-31.623417,SGR,PN,nan,0.207
Al 2-O,267.936458,-31.600056,SCO,PN,nan,nan
M 3-1,105.707000,-31.594806,CMA,PN,nan,0.187
Wray 16-423,290.544250,-31.511056,SGR,PN,nan,0.000
M 4-7,268.040375,-31.500944,SCO,PN,nan,0.117
Cn 1-5,277.298583,-31.499917,SGR,PN,nan,0.117
Al 2-R,268.405750,-31.425833,SCO,PN,nan,0.000
KFL 3,270.720292,-31.399306,SGR,PN,nan,0.225
RPZM 2-44,270.300000,-31.366667,SGR,PN,nan,nan
M 2-10,258.529333,-31.328417,SCO,PN,16.80,0.067
M 2-27,270.968792,-31.295861,SGR,PN,nan,0.080
RPZM 2-40,267.325000,-31.250000,SCO,PN,nan,nan
Th 3-6,259.835583,-31.209417,SCO,PN,nan,0.000
M 3-46,268.776000,-31.206250,SCO,PN,nan,0.070
RPZM 2-45,270.325000,-31.183333,SGR,PN,nan,nan
H 2-33,269.553083,-31.135528,SGR,PN,nan,0.103
M 3-17,269.108500,-31.072972,SCO,PN,nan,0.083
Bl D,266.512167,-31.058889,SCO,PN,nan,0.217
Wray 16-363,271.184208,-31.047333,SGR,PN,nan,0.107
Th 3-55,262.744083,-31.018778,SCO,PN,nan,0.000
M 2-28,271.257875,-30.970861,SGR,PN,nan,0.080
PBOZ 17,259.525000,-30.933333,SCO,PN,nan,nan
Lo 13,242.433375,-30.900556,SCO,PN,nan,1.183
PBOZ 9,265.850000,-30.900000,SCO,PN,nan,nan
M 2-6,256.076500,-30.891361,SCO,PN,nan,0.133
SwSt 1,274.051208,-30.868750,SGR,PN,nan,0.083
Th 3-10,261.167375,-30.864694,SCO,PN,nan,0.000
M 3-16,268.194292,-30.829056,SCO,PN,nan,0.137
PBOZ 18,261.600000,-30.766667,SCO,PN,nan,nan
Wray 17-5,112.000000,-30.750000,PUP,PN,nan,nan
M 2-41,275.643958,-30.724833,SGR,PN,nan,0.237
PBOZ 3,261.250000,-30.716667,SCO,PN,nan,nan
Wray 16-3,112.000000,-30.700000,PUP,PN,nan,nan
Th 3-13,261.328750,-30.678917,SCO,PN,nan,0.000
M 3-29,279.857583,-30.676750,SGR,PN,nan,0.137
M 1-29,267.575042,-30.582083,SCO,PN,13.50,0.127
M 3-23,271.771875,-30.570028,SGR,PN,nan,0.190
H 1-40,268.900500,-30.559028,SCO,PN,nan,0.063
RPZM 2-42,267.475000,-30.550000,SCO,PN,nan,nan
M 2-7,256.308208,-30.541139,SCO,PN,nan,0.130
PM 1-130,257.925000,-30.483333,SCO,PN,nan,nan
IRAS 17391-3026,265.575000,-30.466667,SCO,PN,nan,nan
Al 2-H,263.320958,-30.441833,SCO,PN,nan,0.000
M 3-44,267.828917,-30.398222,SCO,PN,nan,0.073
PBOZ 15,266.800000,-30.366667,SCO,PN,nan,nan
TrBr 4,263.931875,-30.358056,SCO,PN,nan,0.500
H 1-9,260.384458,-30.346778,SCO,PN,nan,0.117
PC 13,252.570583,-30.331917,SCO,PN,nan,0.117
PBOZ 7,265.025000,-30.316667,SCO,PN,nan,nan
He 2-418,281.055875,-30.307417,SGR,PN,nan,0.217
Th 3-24,262.714292,-30.287250,SCO,PN,nan,0.000
PBOZ 8,265.150000,-30.266667,SCO,PN,nan,nan
M 2-33,273.777125,-30.259167,SGR,PN,nan,0.097
M 3-22,270.578083,-30.239139,SGR,PN,nan,0.122
M 1-26,266.490292,-30.200111,SCO,PN,13.80,0.070
H 2-13,262.780292,-30.176917,SCO,PN,nan,0.000
Wray 17-7,114.350000,-30.133333,PUP,PN,nan,nan
M 4-4,262.208917,-30.131333,SCO,PN,nan,0.110
H 1-63,274.077458,-30.126583,SGR,PN,nan,0.117
Wray 17-96,265.400000,-30.116667,SCO,PN,nan,nan
M 3-45,268.022750,-30.088222,SCO,PN,nan,0.100
RPZM 2-43,267.950000,-30.050000,SCO,PN,nan,nan
KFL 1,269.815542,-30.046722,SGR,PN,nan,0.137
M 3-47,269.423792,-30.033917,SCO,PN,nan,0.000
RPZM 2-32,265.175000,-30.033333,OPH,PN,nan,nan
Sa 3-43,259.475000,-30.033333,OPH,PN,nan,nan
M 3-19,269.581125,-30.011472,SGR,PN,nan,0.095
H 1-23,263.195583,-30.004139,OPH,PN,nan,0.047
Hb 5,266.986583,-29.997972,SGR,PN,nan,0.250
Bl 3-10,268.838708,-29.967306,SGR,PN,nan,0.150
MyCn 26,253.975000,-29.866667,OPH,PN,nan,nan
Te 2022,265.677083,-29.859833,OPH,PN,nan,0.200
ShWi 2-5,270.975583,-29.857194,SGR,PN,nan,0.067
RPZM 2-39,266.900000,-29.850000,SGR,PN,nan,nan
Bl 3-14,268.100000,-29.766667,SGR,PN,nan,nan
ShWi 2-2,270.775000,-29.766667,SGR,PN,nan,nan
ShWi 2-4,270.900000,-29.766667,SGR,PN,nan,nan
Th 3-12,261.276917,-29.754139,OPH,PN,nan,0.000
RPZM 2-48,266.375000,-29.750000,SGR,PN,nan,nan
H 1-56,271.974417,-29.743028,SGR,PN,nan,0.050
M 2-21,269.540625,-29.739167,SGR,PN,13.60,0.120
M 2-19,268.441292,-29.729528,SGR,PN,16.20,0.137
KFL 19,275.787458,-29.723583,SGR,PN,nan,0.130
PBOZ 12,266.425000,-29.716667,SGR,PN,nan,nan
H 1-55,271.810750,-29.690000,SGR,PN,nan,0.083
Bl B,264.252542,-29.671472,OPH,PN,nan,0.000
H 2-32,269.100750,-29.634639,SGR,PN,nan,0.000
Te 48,256.750000,-29.633333,OPH,PN,nan,nan
M 2-20,268.605500,-29.602611,SGR,PN,14.80,0.110
H 1-18,262.430292,-29.546944,OPH,PN,nan,0.000
ShWi 2-6,271.000000,-29.450000,SGR,PN,nan,nan
M 3-43,267.600875,-29.421639,SGR,PN,nan,0.060
KFL 14,273.252208,-29.420028,SGR,PN,nan,0.285
ShWi 2-1,270.614458,-29.418944,SGR,PN,nan,0.217
M 3-7,261.143833,-29.403944,OPH,PN,nan,0.097
M 3-41,261.495417,-29.364750,OPH,PN,nan,0.072
H 1-47,270.157000,-29.364028,SGR,PN,nan,0.083
Th 3-16,261.851292,-29.353611,OPH,PN,nan,0.100
Sa 3-104,269.605625,-29.347194,SGR,PN,nan,0.087
ShWi 2-7,271.268000,-29.324111,SGR,PN,nan,0.200
Al 2-Q,268.353875,-29.285222,SGR,PN,nan,0.000
M 3-42,261.749417,-29.258806,OPH,PN,nan,0.088
H 1-54,271.780208,-29.215500,SGR,PN,nan,0.080
Bl 3-13,269.007458,-29.188139,SGR,PN,nan,0.087
K 1-28,158.627667,-29.187667,HYA,PN,16.00,0.900
Th 3-23,262.598708,-29.159444,OPH,PN,nan,0.000
M 2-36,274.424833,-29.138778,SGR,PN,nan,0.135
ESO 427-19,103.800375,-29.124556,CMA,PN,nan,0.400
Bl 3-15,268.145625,-29.109278,SGR,PN,nan,0.050
M 4-6,263.808458,-29.053056,OPH,PN,nan,0.000
M 3-38,260.267833,-29.049806,OPH,PN,nan,0.000
M 2-11,260.138792,-29.010694,OPH,PN,14.40,0.250
Wray 16-2,111.050000,-29.000000,CMA,PN,nan,nan
Th 3-3,259.333667,-28.991750,OPH,PN,nan,0.283
Bl O,268.461583,-28.989417,SGR,PN,nan,0.000
H 2-7,260.853958,-28.984778,OPH,PN,nan,0.075
M 1-42,272.769917,-28.983472,SGR,PN,13.30,0.150
PBOZ 2,260.975000,-28.983333,OPH,PN,nan,nan
K 1-2,134.455625,-28.944083,PYX,PN,nan,0.967
19W32,264.762250,-28.943722,OPH,PN,nan,0.400
TeJu 18,260.407958,-28.920528,OPH,PN,nan,0.133
Sa 3-92,268.716333,-28.815389,SGR,PN,nan,0.100
Te 68,261.050000,-28.783333,OPH,PN,nan,nan
19W96,266.775000,-28.766667,SGR,PN,nan,nan
Te 69,261.175000,-28.733333,OPH,PN,nan,nan
Hf 2-2,278.129583,-28.722528,SGR,PN,nan,0.310
Th 3-35,264.675750,-28.712750,OPH,PN,nan,0.000
19W43,265.150000,-28.700000,OPH,PN,nan,nan
HDW 8,262.945542,-28.699167,OPH,PN,nan,0.617
M 1-38,271.524708,-28.676194,SGR,PN,9.30,0.055
H 1-17,262.420625,-28.675306,OPH,PN,nan,0.083
H 2-37,271.117750,-28.628167,SGR,PN,nan,0.070
Al 2-F,262.626875,-28.599028,OPH,PN,nan,0.000
H 2-10,261.886083,-28.519528,OPH,PN,nan,0.083
Wray 17-107,271.019208,-28.465306,SGR,PN,nan,0.200
M 3-10,261.835750,-28.464222,OPH,PN,nan,0.053
Th 3-19,262.174125,-28.455361,OPH,PN,nan,0.000
Bl M,268.445708,-28.454472,SGR,PN,nan,0.070
M 2-23,270.427750,-28.429278,SGR,PN,12.40,0.142
H 2-39,272.016208,-28.392139,SGR,PN,nan,0.062
Ap 1-12,272.896458,-28.377028,SGR,PN,nan,0.200
M 1-37,271.357750,-28.367806,SGR,PN,25.00,0.000
H 2-43,273.199917,-28.333611,SGR,PN,nan,0.150
KFL 12,272.628250,-28.322750,SGR,PN,nan,0.047
Pe 1-12,274.425292,-28.288500,SGR,PN,nan,0.160
KFL 2,270.249250,-28.271833,SGR,PN,nan,0.090
Th 3-26,262.788917,-28.250194,OPH,PN,nan,0.100
H 1-45,269.590333,-28.247250,SGR,PN,nan,0.100
Al 2-G,263.094000,-28.241778,OPH,PN,nan,0.000
H 2-31,269.011042,-28.236722,SGR,PN,nan,0.000
M 3-20,269.830625,-28.229972,SGR,PN,nan,0.110
Bl Q,268.644208,-28.211833,SGR,PN,nan,0.075
Al 2-B,261.946125,-28.184250,OPH,PN,nan,0.000
NGC 6565,272.970208,-28.177222,SGR,PN,11.40,0.227
M 2-37,274.661375,-28.134833,SGR,PN,nan,0.120
Th 3-32,263.813458,-28.118583,OPH,PN,nan,0.000
RPZM 2-25,263.900000,-28.116667,OPH,PN,nan,nan
M 3-8,261.217375,-28.098583,OPH,PN,nan,0.090
H 1-20,262.682750,-28.068194,OPH,PN,nan,0.067
K 2-16,251.204458,-28.068167,SCO,PN,nan,0.383
PBOZ 26,265.150000,-28.016667,OPH,PN,nan,nan
Al 2-I,264.059542,-28.012667,OPH,PN,nan,0.000
H 1-19,262.512208,-27.989861,OPH,PN,nan,0.000
Anon. 16h38m,250.400000,-27.983333,SCO,PN,nan,nan
M 2-30,273.142250,-27.970250,SGR,PN,nan,0.150
PBOZ 19,266.075000,-27.966667,SGR,PN,nan,nan
PBOZ 20,265.900000,-27.966667,OPH,PN,nan,nan
Al 2-K,263.558083,-27.933417,OPH,PN,nan,0.000
H 2-41,273.099125,-27.870472,SGR,PN,nan,0.135
RPZM 2-46,259.175000,-27.866667,OPH,PN,nan,nan
M 3-2,108.706375,-27.838417,CMA,PN,nan,0.127
CTIO 1230-275,188.310917,-27.809083,HYA,PN,nan,0.117
H 1-59,272.871875,-27.771028,SGR,PN,nan,0.100
SaSt 1- 1,127.928333,-27.759028,PYX,PN,nan,0.000
Th 3-15,261.789583,-27.740000,OPH,PN,nan,0.000
PBOZ 27,265.175000,-27.733333,OPH,PN,nan,nan
Th 3-33,263.944375,-27.717944,OPH,PN,nan,0.100
PBOZ 32,269.550000,-27.700000,SGR,PN,nan,nan
M 3-5,120.619833,-27.699333,PUP,PN,nan,0.113
KFL 4,270.714750,-27.684000,SGR,PN,nan,0.050
Al 2-N,267.400000,-27.683333,SGR,PN,nan,nan
Wray 16-13,122.150000,-27.683333,PUP,PN,nan,nan
SaWe 2,261.728750,-27.678056,OPH,PN,nan,1.167
Pe 2-12,270.290750,-27.640500,SGR,PN,nan,0.083
PBOZ 30,267.650000,-27.633333,SGR,PN,nan,nan
Pe 2-11,269.630167,-27.618167,SGR,PN,nan,0.085
Te 677,263.350000,-27.566667,OPH,PN,nan,nan
Al 2-E,262.560083,-27.505722,OPH,PN,nan,0.000
H 1-60,273.102958,-27.481833,SGR,PN,nan,0.095
PBOZ 13,266.500000,-27.433333,SGR,PN,nan,nan
Al 2-J,263.897417,-27.400944,OPH,PN,nan,0.150
PBOZ 10,266.125000,-27.350000,SGR,PN,nan,nan
NGC 2452,116.858917,-27.334944,PUP,PN,12.60,0.317
PM 1-165,264.550000,-27.333333,OPH,PN,nan,nan
KFL 11,272.551333,-27.276722,SGR,PN,nan,0.053
M 3-26,274.047667,-27.249194,SGR,PN,nan,0.143
M 3-39,260.298500,-27.191028,OPH,PN,nan,0.300
M 4-3,257.674417,-27.145528,OPH,PN,nan,0.133
M 3-40,260.617958,-27.143111,OPH,PN,nan,0.000
Al 1,278.727750,-27.106306,SGR,PN,nan,0.217
KFL 7,271.708250,-27.105000,SGR,PN,nan,0.083
IC 4673,270.824958,-27.104556,SGR,PN,13.00,0.247
Th 3-25,262.694333,-27.098972,OPH,PN,nan,0.117
M 1-44,274.072458,-27.075722,SGR,PN,16.10,0.063
PBOZ 14,266.675000,-27.050000,SGR,PN,nan,nan
K 1-4,265.117042,-27.013083,OPH,PN,nan,0.617
M 2-26,270.800000,-26.975250,SGR,PN,nan,0.153
Th 3-14,261.434708,-26.963333,OPH,PN,nan,nan
M 2-29,271.676708,-26.922361,SGR,PN,nan,0.060
KFL 10,272.006167,-26.900194,SGR,PN,nan,0.100
NGC 6620,275.726000,-26.821333,SGR,PN,12.70,0.133
He 2-262,265.067833,-26.739167,OPH,PN,nan,0.067
Te 2337,267.190250,-26.725194,SGR,PN,nan,0.467
M 1-35,270.913875,-26.723556,SGR,PN,14.60,0.075
ESO 525-06,291.750000,-26.700000,SGR,PN,nan,nan
He 2-250,263.728083,-26.599333,OPH,PN,nan,0.087
M 2-38,274.854750,-26.588611,SGR,PN,nan,0.155
H 2-42,273.096417,-26.548528,SGR,PN,nan,0.197
H 1-53,271.487875,-26.494944,SGR,PN,nan,0.000
HDW 12,299.555083,-26.470944,SGR,PN,nan,0.767
H 1-16,262.348542,-26.433944,OPH,PN,nan,0.083
TeJu 8,258.125792,-26.425806,OPH,PN,nan,0.283
KFL 16,274.223667,-26.390000,SGR,PN,nan,0.207
TeJu 14,259.575000,-26.366667,OPH,PN,nan,nan
RPZM 2-21,262.550000,-26.350000,OPH,PN,nan,nan
RPZM 2-47,265.425000,-26.250000,OPH,PN,nan,nan
TeJu 19,261.326000,-26.210528,OPH,PN,nan,0.133
M 3-9,261.430958,-26.198361,OPH,PN,nan,0.283
PM 1-151,262.475000,-26.183333,OPH,PN,nan,nan
H 2-44,273.418958,-26.145278,SGR,PN,nan,0.110
VY 2-1,276.998083,-26.111278,SGR,PN,nan,0.117
H 1-58,272.305917,-26.040694,SGR,PN,nan,0.105
M 2-12,261.006208,-25.989833,OPH,PN,25.00,0.083
Wray 17-16,123.950000,-25.983333,PUP,PN,nan,nan
ESO 515-17,239.475000,-25.916667,SCO,PN,nan,nan
NGC 1360,53.313958,-25.870111,FOR,PN,9.60,6.417
H 2-11,262.358208,-25.823056,OPH,PN,nan,0.045
Te 5,265.625417,-25.757972,OPH,PN,nan,0.133
KFL 13,273.187375,-25.739722,SGR,PN,nan,0.237
M 3-36,258.163375,-25.725611,OPH,PN,nan,0.070
H 1-66,276.236625,-25.698278,SGR,PN,nan,0.137
Te 1567,266.368167,-25.637056,SGR,PN,nan,0.167
Pe 2-13,274.557417,-25.636417,SGR,PN,nan,0.110
H 2-20,266.422292,-25.630917,SGR,PN,nan,0.063
Te 1580,265.914583,-25.612500,OPH,PN,nan,0.183
M 2-31,273.317208,-25.501556,SGR,PN,nan,0.085
M 3-33,282.050042,-25.480361,SGR,PN,nan,0.083
PM 1-186,268.250000,-25.450000,SGR,PN,nan,nan
IRAS 17516-2525,268.675000,-25.416667,SGR,PN,nan,nan
Te 67,260.725000,-25.416667,OPH,PN,nan,nan
M 3-24,271.972958,-25.400611,SGR,PN,nan,0.170
Th 3-1,256.443875,-25.400417,OPH,PN,nan,0.167
HDW 10,286.425000,-25.400000,SGR,PN,nan,nan
PBOZ 21,263.750000,-25.400000,OPH,PN,nan,nan
Abell 15,96.759000,-25.381806,CMA,PN,15.80,0.567
PBOZ 5,261.900000,-25.366667,OPH,PN,nan,nan
M 3-32,281.178875,-25.359528,SGR,PN,nan,0.100
HaWe 9,103.620750,-25.353222,CMA,PN,nan,2.467
KFL 15,273.580833,-25.347250,SGR,PN,nan,0.142
PBOZ 24,264.463500,-25.345667,OPH,PN,nan,0.000
M 3-37,259.803250,-25.287806,OPH,PN,nan,0.167
Te 29,257.075000,-25.233333,OPH,PN,nan,nan
PBOZ 34,271.348083,-25.210333,SGR,PN,nan,0.000
NGC 6644,278.144875,-25.128861,SGR,PN,10.80,0.043
MaC 1-10,272.302250,-25.076528,SGR,PN,nan,0.167
Te 26,256.950000,-25.066667,OPH,PN,nan,nan
Te 40,259.200000,-24.983333,OPH,PN,nan,nan
ESO 515-16,238.500000,-24.916667,SCO,PN,nan,nan
PBOZ 23,264.075000,-24.866667,OPH,PN,nan,nan
Trz 41,260.092583,-24.864750,OPH,PN,nan,0.193
H 1-15,262.155750,-24.851528,OPH,PN,nan,0.083
H 1-61,273.140333,-24.833278,SGR,PN,nan,0.000
Te 35,258.500000,-24.816667,OPH,PN,nan,nan
He 2-406,277.972417,-24.771556,SGR,PN,nan,0.050
H 2-45,273.618833,-24.725944,SGR,PN,nan,0.077
Hb 4,265.469958,-24.702222,OPH,PN,nan,0.103
Te 2111,267.118083,-24.691361,SGR,PN,nan,0.133
Y-C 47,279.350000,-24.450000,SGR,PN,nan,nan
Th 3-27,263.993917,-24.439306,OPH,PN,nan,0.167
H 2-17,265.029083,-24.429028,OPH,PN,nan,0.060
H 1-14,262.015708,-24.422194,OPH,PN,nan,0.110
H 2-24,267.151500,-24.276528,SGR,PN,nan,0.077
H 1-65,275.036667,-24.251583,SGR,PN,nan,0.133
PBOZ 11,266.125000,-24.216667,SGR,PN,nan,nan
PBOZ 16,266.875000,-24.216667,SGR,PN,nan,nan
M 1-41,272.374625,-24.207833,SGR,PN,17.00,0.140
M 2-14,265.490292,-24.190417,OPH,PN,18.00,0.000
M 2-39,275.504917,-24.177639,SGR,PN,nan,0.053
M 2-42,275.632292,-24.157861,SGR,PN,nan,0.063
ESO 513-05,223.850000,-24.083333,LIB,PN,nan,nan
Sp 2-128,274.450000,-24.050000,SGR,PN,nan,nan
M 2-34,274.318542,-23.980889,SGR,PN,nan,0.140
GJJC 1,279.097542,-23.922250,SGR,PN,nan,0.142
NGC 6369,262.336583,-23.758972,OPH,PN,11.50,0.633
H 2-25,267.252417,-23.715194,SGR,PN,nan,0.073
M 3-4,118.796833,-23.629361,PUP,PN,nan,0.230
Me 2-1,230.580417,-23.625417,LIB,PN,nan,0.100
ESO 515-11,237.625000,-23.566667,SCO,PN,nan,nan
H 2-48,281.642667,-23.447278,SGR,PN,nan,0.033
H 1-64,274.598583,-23.414528,SGR,PN,nan,0.127
NeVe 1,258.100000,-23.383333,OPH,PN,nan,nan
PBOZ 28,266.750000,-23.350000,SGR,PN,nan,nan
Y-C 2-17,227.075000,-23.250000,LIB,PN,nan,nan
NGC 6629,276.431167,-23.199806,SGR,PN,11.20,0.258
Abell 65,296.640667,-23.136778,SGR,PN,13.80,1.667
Pe 1-9,266.403833,-23.040694,SGR,PN,nan,0.207
V 348 Sgr,280.100000,-23.000000,SGR,PN,nan,nan
HaTr 8,268.982958,-22.983722,SGR,PN,nan,0.200
PM 1-149,261.973542,-22.955417,OPH,PN,nan,nan
DeHt 1,88.776750,-22.900278,LEP,PN,nan,2.200
H 2-15,263.611542,-22.888917,OPH,PN,nan,0.073
Abell 35,193.422500,-22.861750,HYA,PN,13.30,12.833
H 1-34,267.032417,-22.779583,SGR,PN,nan,0.000
MaC 1-11,273.711833,-22.731861,SGR,PN,nan,0.000
Pe 1-13,278.714583,-22.722972,SGR,PN,nan,0.127
IC 4732,278.477542,-22.644389,SGR,PN,13.30,0.067
H 1-67,276.268542,-22.581417,SGR,PN,nan,0.093
M 1-62,282.608208,-22.572667,SGR,PN,13.20,0.060
SaWe 1,102.670958,-22.435917,CMA,PN,nan,0.917
ESO 580-02,218.700000,-22.433333,LIB,PN,nan,nan
M 1-31,268.172708,-22.365722,SGR,PN,13.60,0.000
